name,place.type,address
"Ferme Michaca","manufacture","3026 Smaill, Elgin, Qc J0S-2E0, Canada"
"Merci Entrepôt","manufacture","12020 boul. Albert-Hudon, Montréal, QC H1G-3K7, Canada"
"Lufa","manufacture","201-1400 Rue Antonio-Barbeau, Montreal, QC H4N-1H5, Canada"
"Yupik","manufacture","1385 Louvain Ouest, Montreal, QC H4N-1G6, Canada"
"Manitoba Harvest","manufacture","69 eagle drive, winnipeg, manitoba R2R-1V4, Canada"
"Aliments Trigone","manufacture","93 chemin de l'Aqueduc, Saint-François-de-la-Rivière-du-Sud, QC G0R-3A0, Canada"
"Chez nous","consumer","7798 rue Berri, Montreal, QC H2R-2G9, Canada"
"Merci Jean-Talon","store","282 Place du marché du nord, Jean-Talon Market, Montreal, Québec H2S-1A1, Canada"
"Michaca Jean-Talon","store","7070 Avenue Henri Julien, Montréal, QC H2S-3S3, Canada"
"Mondiana Belanger","store","1120 Rue Bélanger, Montréal, QC H2S-1H4, Canada"
